0.000000000000000000e+00	2.000000000000000000e+00
2.000000000000000111e-01	2.148755592777100265e+00
4.000000000000000222e-01	2.294212220588747631e+00
6.000000000000000888e-01	2.441722270730999345e+00
8.000000000000000444e-01	2.596638130499913100e+00
1.000000000000000000e+00	2.764312187191546144e+00
1.200000000000000178e+00	2.950096828101957058e+00
1.400000000000000133e+00	3.158188768414329495e+00
1.600000000000000089e+00	3.382726095662776267e+00
1.800000000000000044e+00	3.612667774208906390e+00
2.000000000000000000e+00	3.836929965743482107e+00
2.200000000000000178e+00	4.044428831957265658e+00
2.400000000000000355e+00	4.224080534541021059e+00
2.600000000000000089e+00	4.365127493607385389e+00
2.800000000000000266e+00	4.464316072972188465e+00
3.000000000000000000e+00	4.525896580154444848e+00
3.200000000000000178e+00	4.554445581095047046e+00
3.400000000000000355e+00	4.554539641734889344e+00
3.600000000000000089e+00	4.530755328014864247e+00
3.800000000000000266e+00	4.487664079335772271e+00
4.000000000000000000e+00	4.429217023747313853e+00
4.200000000000000178e+00	4.358160552377634112e+00
4.400000000000000355e+00	4.277102639772397907e+00
4.600000000000000533e+00	4.188651260477268323e+00
4.800000000000000711e+00	4.095414389037914660e+00
5.000000000000000000e+00	4.000000000000000000e+00
5.200000000000000178e+00	3.904537594797654165e+00
5.400000000000000355e+00	3.809242782418858386e+00
5.600000000000000533e+00	3.713852698740056635e+00
5.800000000000000711e+00	3.618104479637693327e+00
6.000000000000000000e+00	3.521735260988213323e+00
6.200000000000000178e+00	3.424482178668060151e+00
6.400000000000000355e+00	3.326682608511873696e+00
6.600000000000000533e+00	3.233898237101549888e+00
6.800000000000000711e+00	3.154380715276083880e+00
7.000000000000000000e+00	3.096403924984033385e+00
7.200000000000000178e+00	3.068241748173953454e+00
7.400000000000000355e+00	3.078168066794403135e+00
7.600000000000000533e+00	3.133856376426871204e+00
7.800000000000000711e+00	3.229171286210300806e+00
8.000000000000000000e+00	3.344168518841084570e+00
8.200000000000001066e+00	3.458303410648552401e+00
8.400000000000000355e+00	3.551031297962027544e+00
8.599999999999999645e+00	3.601807517110839907e+00
8.800000000000000711e+00	3.590173366498286889e+00
9.000000000000000000e+00	3.506071555478139423e+00
9.200000000000001066e+00	3.359645880787318184e+00
9.400000000000000355e+00	3.163361115159959880e+00
9.600000000000001421e+00	2.929682031330195890e+00
9.800000000000000711e+00	2.671073402032164701e+00
1.000000000000000000e+01	2.399999999999999911e+00
